email,razao_social,nome_fantasia,cnpj,uf,municipio,situacao_cadastral,exemplo_produto_licitado
lfengenhariaesolucoes@gmail.com,LF ENGENHARIA E SOLUCOES LTDA,LF ENGENHARIA,43539833000138,CE,Fortaleza,Ativa,"REFORMA ELÉTRICA DE 6 SALAS DE AULA, CORREDOR, REFEITÓRIO E SUBSTITUIÇÃO DE ITENS AVARIADOS - EEMTI PROFESSORA TECLA FER"
lcxconstrucao@gmail.com,L13 CONSTRUCOES E COMERCIO LTDA,L13 CONSTRUCOES,33650358000119,CE,Juazeiro do Norte,Ativa,Contratação de Serviços de Terceiros ¿ MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS. EEFM DONA CLOTILDE SARAIVA COELHO - JUA
alvoscomercioeservico2023@gmail.com,Y.A. MONTEIRO SOLUTION,YNFORPEL COMERCIO E SERVICO,50949285000180,CE,Camocim,Ativa,AQUISIÇÃO - SERVIÇOS DE TERCEIROS - FESTIVIDADES E HOMENAGENS 02 - EEMTI LICEU MARCIONILIO GOMES DE FREITAS - SENADOR PO
captar.comercioeservicos@gmail.com,CAPTAR COMERCIO E SERVICOS LTDA,CAPTAR,55109104000120,CE,Campos Sales,Ativa,SERVIÇOS DE TERCEIROS - OUTROS SERVIÇOS DE TERCEIROS - CARRO PIPA - EEEP WELLINGTON BELÉM DE FIGUEIREDO - NOVA OLINDA - 
joao.helton1910@gmail.com,HELTON JHON OLIVEIRA ANJOS SILVA,HALTECH SERVICES,35972114000188,CE,Ocara,Ativa,"Aquisição de gêneros de alimentação (água mineral, café e açúcar) tem por finalidade garantir condições adequadas de sal"
lairtonsales@gmail.com,LAIRTON SALES DA SILVA LTDA,LS SERVICOS E COMERCIO,30894221000111,CE,Várzea Alegre,Ativa,AQUISIÇÃO GÊNEROS DE ALIMENTAÇÃO - MERENDA ESCOLAR - EEMTI PADRE JOSÉ ALVES DE MACEDO - CREDE 17
papelariaparente1@hotmail.com,OSMAR P. ALBUQUERQUE FILHO,CASA PARENTE,12986376000104,CE,Camocim,Ativa,AQUISIÇÃO DE SERVIÇO DE FESTIVIDADES E HOMENAGENS - EEM CORONEL LUIZ FELIPE - GRANJA - CREDE 4
camelomariaa@gmail.com,CAMELO'S COMERCIAL LTDA,CAMELLOS HORTIFRUTI,48394531000132,CE,Maracanaú,Ativa,GÊNEROS DE ALIMENTAÇÃO - EEMTI LICEU PROFESSOR FRANCISCO OSCAR RODRIGUES - MARACANAU - CREDE 1
admseteprinter@gmail.com,SETE PRINTER SOLUCOES LTDA,SETE PRINTER,61342426000118,CE,Fortaleza,Ativa,"Realização de Serviços Gráficos e Editoriais, destinado a atender as  necessidades da Escola Estadual de Educação Profis"
trevenzasolucoes@gmail.com,TREVENZA SOLUCOES LTDA,TREVENZA SOLUCOES,58613526000127,PR,Curitiba,Ativa,"Aquisição de material permanente destinado às áreas de fisioterapia, saúde e correlatas, com a finalidade de atender às "
bvdistribuidora@hotmail.com,BV DISTRIBUIDORA LTDA,BV DISTRIBUIDORA,13316163000120,CE,Bela Cruz,Ativa,Aquisição de gêneros alimentícios -CEREAIS EM GRÃOS E FARINHAS PARA PANIFICAÇÃO; MASSAS ALIMENTÍCIAS E PRODUTOS DE PANIF
zacariasjr@santosservicoscontabeis.com.br,SANTOS SERVICOS CONTABEIS LTDA,SANTOS SERVICOS CONTABEIS,13644785000187,CE,Caucaia,Ativa,SERVIÇOS DE TERCEIROS - TÉCNICOS PROFISSIONAIS - SERVIÇOS CONTÁBEIS - EEMTI CORONEL VIRGÍLIO TÁVORA - QUIXADA -  CREDE 1
mariana_dsa@yahoo.com.br,MALE PROJETOS E ENGENHARIA LTDA,MALE PROJETOS E ENGENHARIA,49446280000155,CE,Fortaleza,Ativa,"RECUPERAÇÃO DOS PILARES DAS CICULAÇÕES, REPARO ESTRUTURAL NO HALL DE ACESSO AO PAV. SUPERIOR, RECUPERAÇÃO DA CAIXA D'ÁGU"
comercialnetoviana@gmail.com,NERI DISTRIBUIDORA LTDA,COMERCIAL NETO VIANA,23434790000119,CE,Granja,Ativa,AQUISIÇÃO - MATERIAL DE CONSUMO - GÊNEROS DE ALIMENTAÇÃO - EEMTI CORONEL APOLIANO - SENADOR SA - CREDE 6 -
fabrink.graf@gmail.com,FABRINK GRAFICA CRIATIVA LTDA,FABRINK GRAFICA CRIATIVA,53654487000192,CE,Caucaia,Ativa,SERVIÇOS DE GRÁFICOS E EDITORIAIS - EEEP PROFESSOR FRANCISCO ARISTÓTELES DE SOUSA - ITAITINGA - CREDE 1
contato.palmas@limpasolar.com,LS PALMAS ENGENHARIA LTDA,LS PALMAS ENGENHARIA,21595867000107,TO,Palmas,Ativa,"REFORMA DO MULTIMEIOS, DO SISTEMA DE RECALQUE, DOS PONTOS ELÉTRICOS DAS BANCADAS TÉRMICAS E  ILUMINAÇÃO DO PÁTIO - EEEP "
fernandofrutas@hotmail.com,F & L COMERCIO & SERVICOS LTDA,F & L COMERCIO & SERVICOS,41322314000198,CE,Uruburetama,Ativa,COTAÇÃO ELETRÔNICA Nº 0004/2026 ¿ AQUISIÇÃO DE MATERIAL DE CONSUMO - GÊNEROS ALIMENTÍCIOS EM FAVOR DA EEMTI NAZARÉ GUERR
"diretorfinanceiro@gruposect,com.br",JESUS ALBINO VIEIRA CRISPA JUNIOR,GRUPO SECT,20189604000135,CE,Fortaleza,Ativa,Aquisição - Serviços de terceiros - Limpeza e Conservação - EEMTI FRANCISCO MIGUEL DE ANDRADE - CAMPOS SALES - CREDE 18
natan.zurc10@gmail.com,NATANAELL CRUZ DE MATOS,MERCADINHO JN,42789334000136,CE,General Sampaio,Ativa,"GÊNEROS DE ALIMENTAÇÃO, PARA O FORNECIMENTO DE ALIMENTAÇÃO, QUE CONTRIBUA PARA O CRESCIMENTO E DESENVOLVIMENTO SAUDÁVEL "
gabrielpontes184@gmail.com,22.573.188 GABRIEL MAIA PONTES,,22573188000108,CE,Jaguaruana,Ativa,Aquisição de gêneros de alimentação (água adicionada de sais ¿ Garrafão de 20L) EEMTI MANUEL SÁTIRO - JAGUARUANA - CREDE
msalimentacaocoletiva@gmail.com,M S SOUSA & MIRANDA ALIMENTACAO LTDA,,09399065000126,CE,Quixadá,Ativa,"CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE REFEIÇÃO (DESJEJUM, ALMOÇO E JANTAR ) DESTINADAS A ESTUDANTES COM MATRÍCULA RE"
anacrisbitaraes@gmail.com,MERAKI LANCHONETES LTDA,MERAKI,54191767000174,MG,Belo Horizonte,Ativa,"O objeto do presente instrumento é a prestação de serviço de apoio logístico em Hospedagem e
Fornecimento de Alimentaçã"
atendimentoliartes@gmail.com,LIARTES PAPELARIA LTDA,LIARTES PAPELARIA,57546670000125,CE,Itapipoca,Ativa,MATERIAL DE EXPEDIENTE PARA ATENDE A DEMANDA DA EEEP FRANCISCA ROCHA SILVA - JAGUARUANA - CREDE 10
italohenrique16@hotmail.com,ITALO HENRIQUE DE AQUINO SALDANHA,RIACHUELO COMERCIO E SERVICOS,13291902000176,CE,Jaguaribe,Ativa,ALIMENTAÇÃO CONVENCIONAL (PROTEÍNAS) - EEM EPITÁCIO PESSOA - OROS - CREDE 16
maviconstrucoes@gmail.com,MAVI CONSTRUCOES LTDA,M A V I,03651414000179,CE,Fortaleza,Ativa,AQUISIÇÃO DE MATERIAL DE CARPINTARIA PARA ATENDER AS NECESSIDADES DA POLÍCIA CIVIL.
worldsolucoeseservicos@gmail.com,WORLD SOLUCOES TECNOLOGICAS E SERVICOS LTDA,WORLD SOLUCOES E SERVICOS,24843634000174,CE,Fortaleza,Ativa,COTAÇÃO ELETRÔNICA 2026/08533- Serviços de Terceiros ¿ Manutenção e Conservação de Bens Imóveis (portas) - COORDENADORIA
fariasn2@hotmail.com,CSV COMERCIO E SERVICOS LTDA,SONHO MEU,53029926000176,CE,Itapipoca,Ativa,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS EM PROL DA EEMTI CORONEL MURILO SERPA - ITAPIPOCA - CREDE 2 -
ciaserv@ciaserv.com.br,COMPANHIA SERVICOS E EVENTOS LTDA,CIA SERVICOS E EVENTOS,64749467000111,CE,Fortaleza,Ativa,AQUISIÇÃO DE  SERVIÇOS DE FESTIVIDADE E HOMENAGEM - EEMTI MONSENHOR ANTÔNIO FEITOSA - MISSAO VELHA - CREDE 20
gusmaofcontabil@gmail.com,COMERCIAL M G R DE FREITAS LTDA,SUPERMERCADO KAYO - MGR,49044435000127,CE,Crateús,Ativa,Aquisição de gêneros de alimentação- alimentação escolar em favor da EEMTI Coelho Mascarenhas - NOVO ORIENTE - CREDE 13
ddanielsaf17@gmail.com,F. D. DE ARAUJO CONSULTORIA & SERVICOS,FD REPRESENTACOES,48293154000145,CE,Santa Quitéria,Ativa,COTAÇÃO ELETRÔNICA Nº 02/2026 - REF. A GÊNEROS ALIMENTÍCIOS (CEREAIS E DIVERSOS) PARA MERENDA ESCOLAR EM FAVOR DA EEMTI 
leo.f.gomes22@gmail.com,LEONARDO FERREIRA GOMES,METRIX,38183766000121,CE,Canindé,Ativa,GÊNEROS DE ALIMENTAÇÃO - EEMTI JOSÉ JOACY PEREIRA - ARATUBA - CREDE 8 /
horusengenharia1@gmail.com,HORUS ENGENHARIA LTDA,HORUS ENGENHARIA,36129511000155,CE,Lavras da Mangabeira,Ativa,REFORMA DOS BANHEIROS - EEMTI CORNÉLIO DIÓGENES - JAGUARIBE - CREDE 11
rita.beserra@yahoo.com.br,A R G BESERRA LTDA,,02783420000117,CE,Tauá,Ativa,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS PARA MERENDA ESCOLAR - SECOS - EEMTI MARIA DAS DORES CIDRÃO ALEXANDRINO - TAUA - CREDE
dsvariedades908@gmail.com,JL SOLUCOES LTDA,JL COMERCIAL,49374023000155,CE,Caucaia,Ativa,GÊNEROS ALIMENTICIOS - EEFM JOSÉ LEOPOLDINO DA SILVA FILHO - (SEFOR 3)
melohalane@gmail.com,HALANE DE MELO MACEDO VIEIRA,H M SERVICOS,64458947000123,CE,Fortaleza,Ativa,Aquisição Aquisição - Serviços de Terceiros ¿ Manutenção e Conservação de Bens Imóveis - DOUTOR SALOMÃO ALVES DE MOURA E
grupodigitalcontabil@gmail.com,COMERCIAL PRAIA E MAR LTDA,SUPERMERCADO PRAIA & MAR,17608115000166,CE,Caucaia,Ativa,Aquisição de gêneros Alimentícios para Alimentação Escolar - EEMTI DR. JOÃO ALMIR DE FREITAS BRANDÃO - SAO BENEDITO - CR
fsoares.frio@gmail.com,FRANCISCO S. LIMA,FRIO MAXIMO AR CONDICIONADO,28419096000146,CE,Fortaleza,Ativa,LIMPEZA E CONSERVAÇÃO - EEEP OTÍLIA CORREIA SARAIVA - BARBALHA - CREDE 19
pfdistribuidoradegas@gmail.com,F. L. L. NETO LTDA,PF DISTRIBUIDORA DE GAS,53645611000153,CE,Pires Ferreira,Ativa,"GÁS GLP, BOTIJÃO 13KG - EEMTI ANTONIO PEREIRA DE FARIAS - IPU - CREDE 5 -"
erilsoncapistrano30@gmail.com,"CAPISTRANO DEDETIZADORA, COMERCIO E SERVICOS LTDA",CAPISTRANO DEDETIZADORA,51158968000181,CE,Bela Cruz,Ativa,AQUISIÇÃO - SERVIÇOS DE TERCEIROS - LIMPEZA E CONSERVAÇÃO  - EEM ANA BEZERRA DE SÁ - CREDE 1
starlan.ronaldo@gmail.com,RONALDO PINHEIRO DE AZEVEDO LTDA,,46118860000125,CE,Fortaleza,Ativa,AQUISIÇÃO - SERVIÇOS DE TERCEIROS - MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS - EEMTI ANTÔNIO CUSTÓDIO - FRECH
ultrabaturite@gmail.com,HALTECH COMERCIO DE GLP LTDA,HALTECH GAS,35438916000102,CE,Ocara,Ativa,"AQUISIÇÃO DE GAS LIQUEFEITO DE PETROLEO-GLP, COMPOSIÇÃO
BÁSICA PROPANO E BUTANO, GÁS DE COZINHA, BOTIJÃO
13.0 QUILOGRA"
contato@mrmhospitalar.com.br,MRM HOSPITALAR LTDA,MRM HOSPITALAR,20920517000106,GO,Aparecida de Goiânia,Ativa,Aquisição de equipamentos de Aspirador Móvel de Secreções para atender as necessidades do Hospital Regional de Crateús -
cb3comercio@gmail.com,CB3 COMERCIO LTDA,CB3 COMERCIO,61470700000134,CE,Eusébio,Ativa,GENERO DE ALIMENTAÇÃO - EEMTI PROFESSOR CORONEL JOSÉ AURÉLIO CÂMARA - SEFOR 3
emporiodasfrutasjuc@gmail.com,CARLOS ELIARDO FERREIRA DE SOUSA LTDA,EMPORIO DAS FRUTAS,27899824000100,CE,Jucás,Ativa,GÊNEROS DE ALIMENTAÇÃO (Classe das massas entre outras 2026) - EEMTI FILGUEIRAS LIMA - IGUATU - CREDE 16 -
acmcomercialeservicos@gmail.com,ACM COMERCIAL E SERVICOS LTDA,ACM COMRCIAL E SERVICOS,59308009000107,CE,Fortaleza,Ativa,GÊNEROS ALIMENTÍCIOS (PNAE) 02 - EEFM NOEL HUGNEN DE OLIVEIRA PAIVA - SEFOR 2
aguanordestinapentecoste@gmail.com,NORDESTINA FABRICACAO DE AGUA ENVASADA LTDA,NORDESTINA,22037681000103,CE,Pentecoste,Ativa,Cotação Eletrônica 01/2026 - Aquisição de Material de Consumo - Gêneros de Alimentação - Água Engarrafada em favor da EE
esperafeliz@fourcontabil.com.br,VMDA EMPREENDIMENTOS LTDA,VMDA EMPREENDIMENTOS,49228512000107,MG,Espera Feliz,Ativa,"Aquisição de material permanente destinado às áreas de fisioterapia, saúde e correlatas, com a finalidade de atender às "
financeiro.sr2015@gmail.com,BOA VISTA COMERCIO E SERVICOS LTDA,COMERCIAL BOA VISTA,10394436000166,CE,Fortaleza,Ativa,Aquisição de gêneros de alimentação - EEMTI FRANCISCO VIEIRA CAVALCANTE - PEDRA BRANCA - CREDE 14 -
lucasisidiorocha@gmail.com,ISICOP SERVICOS E COMERCIO LTDA,,43178739000109,CE,Crateús,Ativa,REFORMA DA FOSSA E SUMIDOURO - EEMTI ANTÔNIO NEGREIROS BASTOS - IRAUCUBA - CREDE 6
financeiro.sede@sindionibus.com.br,SIND DAS EMP DE TRANSP DE PASSAGEIROS DO EST DO CEARA,SINDIONIBUS,07341423000114,CE,Fortaleza,Ativa,"Fornecimento de créditos eletrônicos de vale-transporte, utilizados para custear o deslocamento dos servidores da SESA e"
mercadoepapelariaabc@hotmail.com,BRUNO ROQUE DE VASCONCELOS LTDA,MERCADO ABC,11174408000104,MS,Dourados,Ativa,O objeto do presente Contrato é a aquisição de gêneros alimentícios destinados ao atendimento do Programa Nacional de Al
financeiromilanopneus@gmail.com,MILANO COMERCIO DE PNEUMATICOS LTDA,MILANO PNEUS,36097231000102,SC,Xanxerê,Ativa,PNEUS
scpneuslicitacoes@outlook.com,SC COMERCIO DE PNEUS LTDA,,37952262000166,SC,Itapiranga,Ativa,PNEUS
contato@magba.com.br,MAGBA E-COMMERCE LTDA,,55695599000117,SC,Blumenau,Ativa,PNEUS
pessottopneus@gmail.com,PESSOTTO COMERCIO E SERVICOS LTDA,,31421302000248,SC,Chapecó,Ativa,PNEUS
licitagamapneus@gmail.com,GAMA PNEUS LTDA,GAMA PNEUS,55623647000161,RS,Boa Vista do Buricá,Ativa,PNEUS
importirepneus@gmail.com,IMPORTIRE IMPORTADORA E DISTRIBUIDORA DE PNEUS LTDA,IMPORTIRE,24693328000280,SC,Brusque,Ativa,PNEUS
schwabpneus@hotmail.com,SCHWAB COMERCIO DE PNEUS LTDA,,09505958000290,SC,Itapiranga,Ativa,PNEUS
keila@viph.com.br,VIPH IT COMERCIO E SERVICOS DE EQUIPAMENTOS DE INFORMATICA LTDA,VIPH IT,33419290000161,SC,Biguaçu,Ativa,COMPUTADORES - LEI 14.133/2021
altermed@altermed.com.br,ALTERMED MATERIAL MEDICO HOSPITALAR LTDA,ALTERMED MEDICAMENTOS E MATERIAIS HOSPITALARES,00802002000102,SC,Rio do Sul,Ativa,"MATERIAIS PARA FISIOTERAPIA, PRÁTICAS INTEGRATIVAS E COMPLEMENTARES EM SAÚDE E CORRELATOS - LEI 14.133/2021"
centermedisc@centermedi.com.br,CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA,FILIAL SC,03652030000332,SC,Chapecó,Ativa,MATERIAIS AMBULATORIAIS E INSUMOS HOSPITALARES - LEI 14.133/2021
biologica@biologicadistribuidora.com.br,BIO LOGICA DISTRIBUIDORA LTDA,BIO LOGICA DISTRIBUIDORA,06175908000112,PR,Cambé,Ativa,MATERIAIS ODONTOLÓGICOS - LEI 14.133/2021
jlm.br@hotmail.com,JLM DISTRIBUIDORA BR LTDA,JLM,13965228000168,SC,Bom Retiro,Ativa,MATERIAIS DESCARTÁVEIS - LEI 14.133/2021
controle@controletech.com.br,CONTROLE SERVICOS E COMERCIO DE INFORMATICA LTDA,,10592584000276,ES,Cariacica,Ativa,"NOTEBOOKS, TABLETS E GABINETES DE RECARGA - LEI 14.133/2021"
contato@somalages.com.br,SOMA ATACADO LTDA,SOMA ATACADO,26044069000100,SC,Lages,Ativa,SUPRIMENTOS PRA IMPRESSÃO - LEI 14.133/2021
bransales@bransales.com.br,LAGB ACESSORIOS E PECAS LTDA,BRANSALES PNEUS,02678428000113,SC,Chapecó,Ativa,PNEUS E CORRELATOS - LEI 14.133/2021
comercial@reiflex.com.br,REIFLEX INDUSTRIA E COMERCIO DE MOVEIS LTDA,REIFLEX,93920361000137,RS,Três de Maio,Ativa,CADEIRAS PARA ESCRITÓRIO E LONGARINAS - LEI 14.133/2021 (RENOVADO)
contabilidade@sulpecas.com.br,SUL PECAS E VEICULOS LTDA,DUNA,97752851000475,SC,Tubarão,Ativa,"VEÍCULOS NOVOS, ZERO KM - LEI 14.133/2021"
polisport@polisport.ind.br,POLISPORT ARTIGOS ESPORTIVOS E CONFECCOES LTDA,POLISPORT,18828722000102,SC,Pinhalzinho,Ativa,MATERIAIS ESPORTIVOS - LEI 14.133/2021
uvel@uvel.com.br,UVEL COMERCIAL DE VEICULOS LTDA,UVEL,03047652000250,SC,Brusque,Ativa,"VEÍCULOS NOVOS, ZERO KM - LEI 14.133/2021"
contabilidade1.sc@somahospitalar.com.br,SOMA/SC PRODUTOS HOSPITALARES LTDA,SOMA/SC,05531725000120,SC,Palhoça,Ativa,MATERIAIS AMBULATORIAIS E INSUMOS HOSPITALARES - LEI 14.133/2021
licitacao@blusafeepi.com.br,BLUSAFE EQUIPAMENTOS DE PROTECAO INDIVIDUAL LTDA,BLUSAFE,36091140000160,SC,Gaspar,Ativa,EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL E COLETIVA - LEI 14.133/2021
contato@ssesportes.com.br,K.S. ARTIGOS ESPORTIVOS LTDA,S S ESPORTES,19444651000107,RS,Ivoti,Ativa,"MATERIAIS PARA FISIOTERAPIA, PRÁTICAS INTEGRATIVAS E COMPLEMENTARES EM SAÚDE E CORRELATOS - LEI 14.133/2021"
othala.sc@gmail.com,OTHALA COMERCIO LTDA,OTHALA COMERCIO,45747626000102,SC,Timbó,Ativa,"MATERIAIS PARA FISIOTERAPIA, PRÁTICAS INTEGRATIVAS E COMPLEMENTARES EM SAÚDE E CORRELATOS - LEI 14.133/2021"
cigembalagens@cigembalagens.com.br,CIG COMERCIO DE EMBALAGENS LTDA,,80047087000191,PR,Pinhais,Ativa,PRODUTOS SANEANTES - LEI 14.133/2021
adm@3spapelaria.com.br,SK MATERIAIS PARA ESCRITORIO LTDA,3/S MATERIAL PARA ESCRITORIO,29222667000110,SC,Fraiburgo,Ativa,"MATERIAIS DE EXPEDIENTE, ESCOLAR E DE ARTESANATO - LEI 14.133/2021"
fiscal@positivo.com.br,POSITIVO TECNOLOGIA S.A.,FILIAL BAHIA,81243735000903,BA,Ilhéus,Ativa,COMPUTADORES CORPORATIVOS E SERVIDORES - LEI 14.133/2021
londrimedihospitalar@gmail.com,M. CARREGA COMERCIO DE PRODUTOS HOSPITALARES LTDA,LONDRIMEDI COMERCIO DE PRODUTOS HOSPITALARES,32593430000150,PR,Londrina,Ativa,"EQUIPAMENTOS MÉDICO HOSPITALARES, ODONTOLÓGICOS E DE FISIOTERAPIA - LEI 14.133/2021"
gestao@metdata.com.br,METDATA TECNOLOGIA DA INFORMACAO LTDA,METDATA TECNOLOGIA DA INFORMACAO,28584157000392,ES,Cariacica,Ativa,IMPRESSORAS - LEI 14.133/2021
atendimento@digitocontabil.com.br,2B DISTRIBUIDORA LTDA,2B DISTRIBUIDORA,19555146000121,SC,Santo Amaro da Imperatriz,Ativa,"MATERIAIS DE EXPEDIENTE, ESCOLAR E DE ARTESANATO - LEI 14.133/2021"
ldmcomercialdistribuidora@gmail.com,LDM COMERCIAL DISTRIBUIDORA LTDA,LDM COMERCIAL DISTRIBUIDORA,53881602000161,RS,Porto Alegre,Ativa,EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL E COLETIVA - LEI 14.133/2021
financeiro@dimaster.com.br,DIMASTER - COMERCIO DE PRODUTOS HOSPITALARES LTDA.,DIMASTER SC,02520829000302,SC,Chapecó,Ativa,MATERIAIS AMBULATORIAIS E INSUMOS HOSPITALARES - LEI 14.133/2021
jdcomercioatacadista@gmail.com,J D COMERCIO ATACADISTA LTDA,,44210000000191,SC,Joinville,Ativa,"MATERIAIS DE EXPEDIENTE, ESCOLAR E DE ARTESANATO - LEI 14.133/2021"
nina.zucco@hotmail.com,COMERCIAL PALMEIRAS LTDA,COMERCIAL PALMEIRAS,12674048000164,SC,Canoinhas,Ativa,MATERIAIS DIDÁTICOS - LEI 14.133/2021
depothauscomercial@gmail.com,DEPOTHAUS COMERCIO LTDA,DEPOTHAUS COMERCIO,54431559000103,SC,São José,Ativa,UTENSÍLIOS DE COZINHA - LEI 14.133/2021
contato@incotech.com.br,INCOTECH COMPANY LTDA,INCOTECH,22816315000144,SC,Tubarão,Ativa,IMPRESSORAS - LEI 14.133/2021
